PaperKey,FigOrTable,LocalID,Page,ShortCaption,What_it_Shows,SuggestedSection,Rationale
Zheng2025,Table,Table 6,18,. Cont.,. Cont.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 7,19,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 7,19,. OTCI security access control.,. OTCI security access control.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 7,20,. Cont.,. Cont.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 8,21,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 8,21,. OTCI attack detection and perception.,. OTCI attack detection and perception.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 8,22,. Cont.,. Cont.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 9,24,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 9,24,. OTCI data transit protection.,. OTCI data transit protection.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 10,26,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 10,26,. OTCI data storage protection.,. OTCI data storage protection.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 11,27,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 11,27,. OTCI data backup and recovery.,. OTCI data backup and recovery.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 9,28,. The general framework is divided into four steps: scenario,. The general framework is divided into four steps: scenario,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 9,28,. Schematic diagram of the general framework of OTCI research based on BT.,. Schematic diagram of the general framework of OTCI research based on BT.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 12,29,". Subsequently, the methods",". Subsequently, the methods",Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 12,29,. Common types of cyberattacks in OTCI.,. Common types of cyberattacks in OTCI.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 13,29,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 13,30,. Intelligent protection model based on BT.,. Intelligent protection model based on BT.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 10,30,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 10,31,". The advantages, challenges, and trends of OTCI network security based on BT.",". The advantages, challenges, and trends of OTCI network security based on BT.",Blockchain in Smart Agriculture,Caption indicates relevance to section
S2025,Figure,Fig. 1,4,". Blockchain workflow (GeeksforGeeks, 2025)",". Blockchain workflow (GeeksforGeeks, 2025)",Blockchain in Smart Agriculture,Caption indicates relevance to section
S2025,Figure,Fig. 2,4,. Each type,. Each type,Blockchain in Smart Agriculture,Caption indicates relevance to section
S2025,Figure,Fig. 2,5,. Types of blockchain technology,. Types of blockchain technology,Blockchain in Smart Agriculture,Caption indicates relevance to section
S2025,Figure,Fig. 3,7,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
S2025,Figure,Fig. 4,7,"(Settlemint, 2022).","(Settlemint, 2022).",Blockchain in Smart Agriculture,Caption indicates relevance to section
S2025,Figure,Fig. 5,7,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
S2025,Figure,Fig. 3,8,. Blockchain based subsidy distribution process,. Blockchain based subsidy distribution process,Blockchain in Smart Agriculture,Caption indicates relevance to section
S2025,Figure,Fig. 4,8,. Blockchain based seed distribution system in Jharkhand,. Blockchain based seed distribution system in Jharkhand,Blockchain in Smart Agriculture,Caption indicates relevance to section
S2025,Figure,Fig. 5,9,. Supply chain for spices,. Supply chain for spices,Blockchain in Smart Agriculture,Caption indicates relevance to section
S2025,Figure,Fig. 6,9,. Blockchain based public distribution cycle,. Blockchain based public distribution cycle,Blockchain in Smart Agriculture,Caption indicates relevance to section
S2025,Figure,Fig. 6,9,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 1,9,". Overall,",". Overall,",Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 1,9,. Source selection process from bibliographic search engines.,. Source selection process from bibliographic search engines.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 2,9,shows the yearly distribution of publications that were retrieved by search,shows the yearly distribution of publications that were retrieved by search,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 3,9,presents the number of papers per publisher that was finally included in,presents the number of papers per publisher that was finally included in,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 4,9,). Journal papers are scattered in 25 different journals; only eight,). Journal papers are scattered in 25 different journals; only eight,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 2,10,. Yearly distribution of papers retrieved (blue) and finally included (orange) in our scoping,. Yearly distribution of papers retrieved (blue) and finally included (orange) in our scoping,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 3,10,. Distribution of papers per publisher related to blockchain applications in the agriculture,. Distribution of papers per publisher related to blockchain applications in the agriculture,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 4,10,. Number of papers from different types of publication.,. Number of papers from different types of publication.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Table,Table 1,10,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 5,11,. The majority of papers address the,. The majority of papers address the,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 5,11,. Service areas addressed in the papers included in our scoping review.,. Service areas addressed in the papers included in our scoping review.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 6,11,. Most of the research works,. Most of the research works,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 6,11,. Maturity of the research presented in the papers included in our scoping review.,. Maturity of the research presented in the papers included in our scoping review.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 7,11,depicts the classification of research papers by the agricultural sector and,depicts the classification of research papers by the agricultural sector and,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 7,12,. Agriculture sector and products addressed in the papers included in our scoping review.,. Agriculture sector and products addressed in the papers included in our scoping review.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 8,12,illustrates the geographical location for which the proposed solutions were,illustrates the geographical location for which the proposed solutions were,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Table,Table 2,12,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 9,12,shows the various blockchain technology frameworks (RQ5) that are con-,shows the various blockchain technology frameworks (RQ5) that are con-,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 10,12,". Also, a",". Also, a",Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 8,13,. Countries for which the proposed solutions included in our scoping review were created or,. Countries for which the proposed solutions included in our scoping review were created or,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 9,13,. Blockchain technology frameworks considered in the papers included in our scoping,. Blockchain technology frameworks considered in the papers included in our scoping,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 11,13,". The most common type of stored data, as reported on 43 papers (41%)",". The most common type of stored data, as reported on 43 papers (41%)",Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 11,13,"a), is data from IoT devices, such as temperature, humidity, etc. It should be noted","a), is data from IoT devices, such as temperature, humidity, etc. It should be noted",Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 10,14,. Types of blockchain presented in the papers included in our scoping review.,. Types of blockchain presented in the papers included in our scoping review.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 11,14,b shows a word cloud of all,b shows a word cloud of all,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 11,14,. Types of data stored in the blockchain in the papers included in our scoping review.,. Types of data stored in the blockchain in the papers included in our scoping review.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 12,14,. From,. From,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 12,15,. Types of data stored off-chain and the corresponding storage technology used. The groups,. Types of data stored off-chain and the corresponding storage technology used. The groups,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 14,15,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 14,16,. The classification scheme that emerged from the analysis of papers included in this scoping review presented as a mind,. The classification scheme that emerged from the analysis of papers included in this scoping review presented as a mind,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Figure,Figure 13,16,. Reasons for using blockchain exploited in the papers included in our scoping review.,. Reasons for using blockchain exploited in the papers included in our scoping review.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Table,Table 1,22,": Research papers included in the scoping review, their characteristics, the agriculture products on which they focus, a",": Research papers included in the scoping review, their characteristics, the agriculture products on which they focus, a",Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Table,Table 1,23,– continued from previous page,– continued from previous page,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Table,Table 1,24,– continued from previous page,– continued from previous page,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Table,Table 1,25,– continued from previous page,– continued from previous page,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Table,Table 2,25,: Descriptive data on the particular blockchain application presented in each of the papers included in the scoping revi,: Descriptive data on the particular blockchain application presented in each of the papers included in the scoping revi,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Table,Table 2,26,– continued from previous page,– continued from previous page,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Table,Table 2,27,– continued from previous page,– continued from previous page,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Table,Table 2,28,– continued from previous page,– continued from previous page,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Table,Table 2,29,– continued from previous page,– continued from previous page,Blockchain in Smart Agriculture,Caption indicates relevance to section
Sendros2022,Table,Table 2,30,– continued from previous page,– continued from previous page,Blockchain in Smart Agriculture,Caption indicates relevance to section
TheInternetofThingsApplicationsandTechnologiesUsedTheCaseofBlockchainTechnologyInSmartAgriculture2025,Table,Table 1,2,. Technologies used in study research articles for the intelligent agriculture field.,. Technologies used in study research articles for the intelligent agriculture field.,Blockchain in Smart Agriculture,Caption indicates relevance to section
TheInternetofThingsApplicationsandTechnologiesUsedTheCaseofBlockchainTechnologyInSmartAgriculture2025,Table,Table 2,3,. Technologies used in study research articles for the field of health.,. Technologies used in study research articles for the field of health.,Blockchain in Smart Agriculture,Caption indicates relevance to section
TheInternetofThingsApplicationsandTechnologiesUsedTheCaseofBlockchainTechnologyInSmartAgriculture2025,Table,Table 3,5,. Technologies used in smart city research papers.,. Technologies used in smart city research papers.,Blockchain in Smart Agriculture,Caption indicates relevance to section
TheInternetofThingsApplicationsandTechnologiesUsedTheCaseofBlockchainTechnologyInSmartAgriculture2025,Table,Table 4,6,. Percentage of IoT technologies used by field.,. Percentage of IoT technologies used by field.,Blockchain in Smart Agriculture,Caption indicates relevance to section
TheInternetofThingsApplicationsandTechnologiesUsedTheCaseofBlockchainTechnologyInSmartAgriculture2025,Figure,Figure 1,7,. Percentage of technology use by field in articles,. Percentage of technology use by field in articles,Blockchain in Smart Agriculture,Caption indicates relevance to section
10247Proceedingfullpaperpdf1721777210SecuringAgriculturalImagingDatainSmartAgricultureaBlockchainbasedApproachtoMitigateCybersecurityThreatsandFutureInnovations2024,Figure,Fig. 1,3,represents the overall blockchain framework for securing agricultural data.,represents the overall blockchain framework for securing agricultural data.,Blockchain in Smart Agriculture,Caption indicates relevance to section
10247Proceedingfullpaperpdf1721777210SecuringAgriculturalImagingDatainSmartAgricultureaBlockchainbasedApproachtoMitigateCybersecurityThreatsandFutureInnovations2024,Figure,Fig. 1,4,: Overall blockchain framework for securing agricultural data.,: Overall blockchain framework for securing agricultural data.,Blockchain in Smart Agriculture,Caption indicates relevance to section
10247Proceedingfullpaperpdf1721777210SecuringAgriculturalImagingDatainSmartAgricultureaBlockchainbasedApproachtoMitigateCybersecurityThreatsandFutureInnovations2024,Table,Table 1,6,summarizes the applications of blockchain technology in,summarizes the applications of blockchain technology in,Blockchain in Smart Agriculture,Caption indicates relevance to section
10247Proceedingfullpaperpdf1721777210SecuringAgriculturalImagingDatainSmartAgricultureaBlockchainbasedApproachtoMitigateCybersecurityThreatsandFutureInnovations2024,Table,Table 1,6,: Summary of Blockchain Applications in Agriculture,: Summary of Blockchain Applications in Agriculture,Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 1,2,"). Hence, any manipulation of a given block would result in a mismatch in the","). Hence, any manipulation of a given block would result in a mismatch in the",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 1,2,": Example of a blockchain containing n blocks, in which each successive block",": Example of a blockchain containing n blocks, in which each successive block",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 2,5,"(top section, physical flow) illustrates a simplified version of the food supply","(top section, physical flow) illustrates a simplified version of the food supply",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 2,5,: A simplified food supply chain system.,: A simplified food supply chain system.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 2,6,". Under the physical flow (top layer), there is the digital",". Under the physical flow (top layer), there is the digital",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 2,6,"), which serves as the immutable","), which serves as the immutable",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 2,7,"shows), becoming a","shows), becoming a",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 2,7,"), different technologies are involved and different","), different technologies are involved and different",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 2,9,"shows, recording","shows, recording",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 2,10,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 3,11,shows a snapshot,shows a snapshot,Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 3,12,: A snapshot of the San Domenico roastery mobile application. After the QR code,: A snapshot of the San Domenico roastery mobile application. After the QR code,Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 3,12,"), the whole supply chain could be identified (i.e. manufacturer,","), the whole supply chain could be identified (i.e. manufacturer,",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 4,16,. The figure,. The figure,Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 4,17,": An example demonstrating how a smart contract could be executed in 6 steps, for",": An example demonstrating how a smart contract could be executed in 6 steps, for",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Table,Table 1,21,"shows blockchain technology initiatives/projects, in relation to the goods and/or","shows blockchain technology initiatives/projects, in relation to the goods and/or",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Table,Table 1,23,": Goods and products, in relation to projects using blockchain technology and their",": Goods and products, in relation to projects using blockchain technology and their",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 5,24,"depicts the maturity level of the related work as identified through this survey,","depicts the maturity level of the related work as identified through this survey,",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 5,25,": Maturity level and number of projects, initiatives and research papers as",": Maturity level and number of projects, initiatives and research papers as",Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Table,Table 2,28,lists potential benefits and existing barriers,lists potential benefits and existing barriers,Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Table,Table 2,29,: Potential benefits and existing barriers for the use of blockchain in agriculture.,: Potential benefits and existing barriers for the use of blockchain in agriculture.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 6,34,illustrates the number of blockchain,illustrates the number of blockchain,Blockchain in Smart Agriculture,Caption indicates relevance to section
Daniel2021,Figure,Figure 6,34,": Blockchain in the public sector in 2017 (Source: [148], appropriate permissions",": Blockchain in the public sector in 2017 (Source: [148], appropriate permissions",Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 1,3,An overview of federated learning,An overview of federated learning,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 1,4,. Early applications of federated learn-,. Early applications of federated learn-,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Table,Table 1,7,summarizes some notable,summarizes some notable,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 2,7,. It ensures that participants in the federated setup,. It ensures that participants in the federated setup,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Table,Table 1,8,Summary of Centralized and Federated Learning Approaches for Regression Tasks in the Smart Agricultural Domain,Summary of Centralized and Federated Learning Approaches for Regression Tasks in the Smart Agricultural Domain,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 2,9,An overview of AgriFLChain framework,An overview of AgriFLChain framework,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 3,10,a–d. The ResNet,a–d. The ResNet,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 3,10,a and b. The,a and b. The,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 3,10,c. The,c. The,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 3,11,d.,d.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 3,11,"Architecture Diagram for ResNet-16, ResNet-28, CNN-DNN","Architecture Diagram for ResNet-16, ResNet-28, CNN-DNN",IoT Architectures & Constraints,Caption indicates relevance to section
Manoj2025,Figure,Figure 4,12,illus-,illus-,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 4,12,Sequence diagram for authentication and data provenance of federated participants using DIDs and VCs,Sequence diagram for authentication and data provenance of federated participants using DIDs and VCs,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Table,Table 2,13,. The main steps in,. The main steps in,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Table,Table 2,13,Summary of key notations,Summary of key notations,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 5,16,Box and Whisker Plots of RMSE and R 2 Score Selected Features Using Correlation Measure,Box and Whisker Plots of RMSE and R 2 Score Selected Features Using Correlation Measure,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 6,16,Box and Whisker Plots of RMSE and R 2 Score Selected Features Using Mutual Information Score,Box and Whisker Plots of RMSE and R 2 Score Selected Features Using Mutual Information Score,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 7,16,Box and Whisker Plots of RMSE and R 2 Score Selected Features Using Intrinsic Method - XGBRegressor Model,Box and Whisker Plots of RMSE and R 2 Score Selected Features Using Intrinsic Method - XGBRegressor Model,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 7,17,. Comparing the,. Comparing the,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 7,17,. While the differences in RMSE and R 2,. While the differences in RMSE and R 2,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Table,Table 3,17,". Additionally, the",". Additionally, the",Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Table,Table 4,17,. The analysis of RMSE perfor-,. The analysis of RMSE perfor-,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Table,Table 3,17,Hyperparameter values for centralized deep learning models,Hyperparameter values for centralized deep learning models,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Table,Table 4,17,Performance evaluation,Performance evaluation,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 8,18,Global loss versus rounds for deep learning models with three clients using vanilla federated learning,Global loss versus rounds for deep learning models with three clients using vanilla federated learning,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Figure 8,19,a–c illustrates,a–c illustrates,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 9,19,"a, b details the convergence","a, b details the convergence",Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 9,19,Global loss versus rounds for deep learning models with five clients using vanilla federated learning,Global loss versus rounds for deep learning models with five clients using vanilla federated learning,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Table,Table 5,20,Performance evaluation for soybean yield prediction (bushels/acre) using vanilla federated learning with three clients,Performance evaluation for soybean yield prediction (bushels/acre) using vanilla federated learning with three clients,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 10,20,Global loss versus rounds for CNN-LSTM with DP-federated learning,Global loss versus rounds for CNN-LSTM with DP-federated learning,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Figure 10,21,"a, b shows the convergence process","a, b shows the convergence process",Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Table,Table 6,21,"and Table 8, considering the different","and Table 8, considering the different",Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Figure 12,21,a–d shows the plots for actual versus predicted,a–d shows the plots for actual versus predicted,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Table,Table 6,21,Performance evaluation for soybean yield prediction (bushels/acre) using dp-federated learning with three clients,Performance evaluation for soybean yield prediction (bushels/acre) using dp-federated learning with three clients,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 11,21,"Throughput and average latency for “ModelUpdate"" smart contract functions","Throughput and average latency for “ModelUpdate"" smart contract functions",QoS and Queuing in Blockchain-IoT,Caption indicates relevance to section
Manoj2025,Figure,Figure 11,22,a and b illustrate ­TThroughput and ­TAvgLatency,a and b illustrate ­TThroughput and ­TAvgLatency,QoS and Queuing in Blockchain-IoT,Caption indicates relevance to section
Manoj2025,Figure,Fig. 12,22,Actual vs predicted soybean yield using CNN-LSTM model with DP-federated learning for PY-2018,Actual vs predicted soybean yield using CNN-LSTM model with DP-federated learning for PY-2018,Blockchain in Smart Agriculture,Caption indicates relevance to section
Manoj2025,Figure,Fig. 12,23,).,).,Blockchain in Smart Agriculture,Caption indicates relevance to section
