PaperKey,Title,Authors,Year,Venue,Domain,Contribution,Dataset/Testbed,Metrics,Limitations,Relevance_to_Title
Blockchainx02010Empowered2025,Blockchain&#x02010;Empowered H&#x02010;CPS Architecture for Smart Agriculture,,2025,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; QoS & queuing; Related: edge/fog computing,architecture,N/A,N/A,N/A,N/A
Green2025,Green Secure Land Registration Scheme for Blockchain-enabled Agriculture Industry 5.0,,2025,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; QoS & queuing; Related: edge/fog computing,architecture,N/A,N/A,N/A,N/A
AhmadiKalijietal2023BlockchainImplementationsinPrecisionAgriculturefinalvunknown,AhmadiKalijietal.2023BlockchainImplementationsinPrecisionAgriculture_finalv,,unknown,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; Related: edge/fog computing,survey,N/A,N/A,N/A,N/A
Akinnuoye2025,FrankArena5,Akinnuoye,2025,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; Related: edge/fog computing,survey,N/A,N/A,N/A,N/A
SCHOLAR2025,Microsoft Word - Optimising the Agri-Food Value Chain Latest Trends and Proven Methods for Success 17042025.0905,Mr.RESEARCH SCHOLAR,2025,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; QoS & queuing; Related: edge/fog computing,architecture,N/A,N/A,N/A,N/A
BlockchainEmpowered2025,Blockchain‐Empowered H‐CPS Architecture for Smart Agriculture,,2025,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; QoS & queuing; Related: edge/fog computing,architecture,N/A,N/A,N/A,N/A
User2019,1908.07391v1,Microsoft Office User,2019,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; QoS & queuing; Related: edge/fog computing,architecture,N/A,N/A,N/A,N/A
EnhancingSustainabilityClimateResilienceandRe2025,Enhancing_Sustainability_Climate_Resilience_and_Re,,2025,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; Related: edge/fog computing,other,N/A,N/A,N/A,N/A
Panwar2023,"Blockchain in Agriculture to Ensure Trust, Effectiveness, and Traceability from Farm Fields to Groceries","Arvind Panwar, Manju Khari, Sanjay Misra and Urvashi Sugandh",2023,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; QoS & queuing; Related: edge/fog computing,survey,N/A,N/A,N/A,N/A
ApplyingBlockchaininAgriculture2021,ApplyingBlockchaininAgriculture,,2021,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; Related: edge/fog computing,other,N/A,N/A,N/A,N/A
JISIBlockchainandIoTforSustainableAgricultureInnovationsandImpact2025,JISI-BlockchainandIoTforSustainableAgriculture-InnovationsandImpact,,2025,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; QoS & queuing; Related: edge/fog computing,survey,N/A,N/A,N/A,N/A
Kim2025,Blockchain-Based Secure Authentication Protocol for Fog-Enabled IoT Environments,"Taehun Kim, Deokkyu Kwon, Yohan Park, and Youngho Park",2025,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; QoS & queuing; Related: edge/fog computing,architecture,N/A,N/A,N/A,N/A
EnablingAIinAgriculture40ABlockchainBasedMobileCrowdSensingArchitecture2024,EnablingAIinAgriculture4.0ABlockchain-BasedMobileCrowdSensingArchitecture,,2024,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; QoS & queuing; Related: edge/fog computing,architecture,N/A,N/A,N/A,N/A
Adnan2025,14-SupplyChainTraceabilityandResilienceasDriversofBlockchain2025,Adnan,2025,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; Related: edge/fog computing,other,N/A,N/A,N/A,N/A
TheUseofBlockchainTechnologyintheFoodTrace2025,The_Use_of_Blockchain_Technology_in_the_Food_Trace,,2025,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; Related: edge/fog computing,survey,N/A,N/A,N/A,N/A
Publication12FARJ1184FinalPaperV1240830111128unknown,Publication12_FARJ1184FinalPaperV1_240830_111128,,unknown,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; Related: edge/fog computing,other,N/A,N/A,N/A,N/A
Yang2025,A Survey of Blockchain Applications for Management in Agriculture and Livestock Internet of Things,"Yang Yang, Min Lin, Yangfei Lin, Chen Zhang and Celimuge Wu",2025,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; QoS & queuing; Related: edge/fog computing,survey,N/A,N/A,N/A,N/A
Admin2024,IJAS-030924-20929210_16_1_5_IJAS,Admin,2024,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; QoS & queuing; Related: edge/fog computing,survey,N/A,N/A,N/A,N/A
L.B.2022,Survey on the Applications of Blockchain in Agriculture,Krithika L.B.,2022,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; QoS & queuing; Related: edge/fog computing,survey,N/A,N/A,N/A,N/A
account2023,c,Microsoft account,2023,,Blockchain in Agriculture; IoT architectures & constraints; Consensus for IoT; Related: edge/fog computing,algorithm,N/A,N/A,N/A,N/A
